SKU,Name, MSRP ,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGT1460073,WatchGuard Basic Security Suite for Firebox T145-W - 3-Year," $2,050.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?3tSdVsT9rhc=OEKlnVDjogzpLEsSZrRyEA==Gu/v0ZiQEmE++E5KGC7XX4I3MDcS/Q==
NWG-WGT1460075,WatchGuard Basic Security Suite for Firebox T145-W - 5-Year," $3,680.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?gp1llt4GHfc=Pk3qW9RghQ6xCdEZfyTLvg==nLX25CaoM0Ch6r0Y0z3p4+VR1FqVzA==
NWG-WGT1460081,WatchGuard Total Security Suite for Firebox T145-W - 1-Year," $1,740.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?bdnRezrgQkE=0D/H5JzFBeDl/8OiHR8DQg==SD2kPIJc00oTlunto/J6OSj/r5JYuw==
NWG-WGT1460083,WatchGuard Total Security Suite for Firebox T145-W - 3-Year," $3,440.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?dSC5NQ2kUZk=zvuePsjM+EvD0DmwaP7GwA==mCEsoMzc/xd7BwYFSlRZ05G7NZ1uxg==
NWG-WGT1460085,WatchGuard Total Security Suite for Firebox T145-W - 5-Year," $6,220.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?htY61jaSEzs=YYBgXA4nNXGvMgS4kYsIiQ==xDMOGtVKJsbpZ99zGuj+gi1sSIcLIw==
NWG-WGT1460203,Trade Up to WatchGuard Basic Security Suite for Firebox T145-W - 3-Year," $1,930.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?ov90U7JEVzY=8jFMOikICNDi9v0It91S3g==SXEs3YnatVUphvm0yAgjmmbwERmFvA==
NWG-WGT1460205,Trade Up to WatchGuard Basic Security Suite for Firebox T145-W - 5-Year," $3,470.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?79wFfQXRHUg=GmucYrtYWq79goyPRAwVKA==PIrmTAAX3ROqWln/zW9S/nanAEfcgA==
NWG-WGT1460211,Trade Up to WatchGuard Total Security Suite for Firebox T145-W - 1-Year," $1,640.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?/TRs7AJ0ZXU=4hAebPQ6wGjPQ4UnKLRPUQ==jjxdfdavT6P8V7EUaCFhWpM84PDLOQ==
NWG-WGT1460213,Trade Up to WatchGuard Total Security Suite for Firebox T145-W - 3-Year," $3,250.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?C/4tBFOGRjc=gnxq5H3ry1GPPgH60566kA==6bnhg63kl3MJuzHXT1RV18dtkXV7cQ==
NWG-WGT1460215,Trade Up to WatchGuard Total Security Suite for Firebox T145-W - 5-Year," $5,890.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?j4F27yM01HQ=11j6EMWtgIi3A8RnqoJrZg==6rF+cI0zJRs15kEBTs7RL+TmU6H/Eg==
NWG-WGT185000,WatchGuard Firebox T185 Appliance Only, $780.00 ,Physical,T-Series,T185,https://partner.leadersystems.com.au/products.html?XgJTyGqWKSs=RI6mkbQaSNgdTWuw9JoArA==qKuTcjzxDMLaqqxm0jCFk5EK47bQ
NWG-WGT1850061,WatchGuard Standard Support for Firebox T185 - 1-Year," $1,365.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?EULQuvqf0WA=5+/Of3IuC9tVqDimOlhclg==TqE5QZaGP2UfxOQ2TYrQlebTPG4oGg==
NWG-WGT1850063,WatchGuard Standard Support for Firebox T185 - 3-Year," $2,440.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?kWLQD/ycQiw=C8XTpv/CuEScTcgNw92BUQ==NonEgILrE+arwE05gH8QLh+lCsMVSQ==
NWG-WGT1850065,WatchGuard Standard Support for Firebox T185 - 5-Year," $4,370.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?aohDRJuO6Tc=/CQoaIDwsd93BKaZxiPTfA==LFg/YZ7kmHzrc78zqHW8Pj6Au0zlKw==
NWG-WGT1850071,WatchGuard Basic Security Suite for Firebox T185 - 1-Year," $1,820.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?aXp33ZbZDuk=ZEjqmtLumV0npaDg9PrShw==SyQ3utm04G1W2J00yl80fTgMjJqtlw==
NWG-WGT1850073,WatchGuard Basic Security Suite for Firebox T185 - 3-Year," $3,380.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?OBMP6GTdnKs=uL5EDaeOq/WQ9BsPXUQq+A==ZWqWnm+le6j/gex5dLebLyEkp4cGag==
NWG-WGT1850075,WatchGuard Basic Security Suite for Firebox T185 - 5-Year," $6,110.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?sAkoEsw9j8M=VWfs+TbOgYfcvFZ9WNDi6A==V/+7BZTq+EY6hiWXEwos7cfnhTi4uQ==
NWG-WGT1850081,WatchGuard Total Security Suite for Firebox T185 - 1-Year," $3,050.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?UASpLHW2HPg=4UGtO0ThS9gKAAdujtp22w==VhQEWSpiSrGrUDp4PDZ9cjGipj8EFA==
