STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGENCR30703,Endpoint & Mobile Protection,Watchguard Endpoint Module - Full Encryption - 3 Year - 5001+ licenses,https://www.leadersystems.com.au/Images/NWG-WGENCR30703.jpg,Watchguard,WGENCR30703,24.0000,31.0000
NWG-WGENCR30501,Endpoint & Mobile Protection,Watchguard Endpoint Module - Full Encryption - 1 Year - 501 to 1000 licenses,https://www.leadersystems.com.au/Images/NWG-WGENCR30501.jpg,Watchguard,WGENCR30501,13.0000,17.0000
NWG-WGT25263,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox T25,https://www.leadersystems.com.au/Images/NWG-WGT25263.jpg,Watchguard,WGT25263,507.0000,644.0000
NWG-WGM39040203,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox M390,https://www.leadersystems.com.au/Images/NWG-WGM39040203.jpg,Watchguard,WGM39040203,5456.0000,6923.0000
NWG-WGM69040201,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox M690,https://www.leadersystems.com.au/Images/NWG-WGM69040201.jpg,Watchguard,WGM69040201,6286.0000,7975.0000
NWG-WGENCR30203,Endpoint & Mobile Protection,Watchguard Endpoint Module - Full Encryption - 3 Year - 51 to 100 licenses,https://www.leadersystems.com.au/Images/NWG-WGENCR30203.jpg,Watchguard,WGENCR30203,47.0000,60.0000
NWG-WGT21351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox T20-W,https://www.leadersystems.com.au/Images/NWG-WGT21351.jpg,Watchguard,WGT21351,902.0000,1144.0000
NWG-WGT85263,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox T85-PoE,https://www.leadersystems.com.au/Images/NWG-WGT85263.jpg,Watchguard,WGT85263,1672.0000,2122.0000
NWG-WGT26341,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox T25-W,https://www.leadersystems.com.au/Images/NWG-WGT26341.jpg,Watchguard,WGT26341,468.0000,594.0000
NWG-WGAEPDR30101,Endpoint & Mobile Protection,WatchGuard Advanced EPDR - 1 Year - 1 to 50 licenses,https://www.leadersystems.com.au/Images/NWG-WGAEPDR30101.jpg,Watchguard,WGAEPDR30101,107.0000,136.0000
NWG-WGT49263,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox T45-CW,https://www.leadersystems.com.au/Images/NWG-WGT49263.jpg,Watchguard,WGT49263,976.0000,1239.0000
NWG-WGT80341,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox T80,https://www.leadersystems.com.au/Images/NWG-WGT80341.jpg,Watchguard,WGT80341,1257.0000,1595.0000
NWG-WGT26173,Cloud & Server Security,WatchGuard APT Blocker 3-yr for Firebox T25-W,https://www.leadersystems.com.au/Images/NWG-WGT26173.jpg,Watchguard,WGT26173,559.0000,709.0000
NWG-WGT45171,Cloud & Server Security,WatchGuard APT Blocker 1-yr for Firebox T45,https://www.leadersystems.com.au/Images/NWG-WGT45171.jpg,Watchguard,WGT45171,341.0000,433.0000
NWG-WGT45343,Subscriptions & Licensing,WatchGuard Basic Security SuiteRenewal/Upgrade 3-yr for Firebox T45,https://www.leadersystems.com.au/Images/NWG-WGT45343.jpg,Watchguard,WGT45343,1616.0000,2051.0000
NWG-WGM29040701,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox M290,https://www.leadersystems.com.au/Images/NWG-WGM29040701.jpg,Watchguard,WGM29040701,788.0000,1000.0000
NWG-WGAEPDR30203,Endpoint & Mobile Protection,WatchGuard Advanced EPDR - 3 Year - 51 to 100 licenses,https://www.leadersystems.com.au/Images/NWG-WGAEPDR30203.jpg,Watchguard,WGAEPDR30203,226.0000,287.0000
NWG-WGPAT053,Endpoint & Mobile Protection,Panda Patch Management - 3 Year - 101 to 250 users,https://www.leadersystems.com.au/Images/NWG-WGPAT053.jpg,Watchguard,WGPAT053,53.0000,68.0000
NWG-WGEMA071,Email Security,Panda Email Protection - 1 Year - 501 to 1000 users,https://www.leadersystems.com.au/Images/NWG-WGEMA071.jpg,Watchguard,WGEMA071,20.0000,26.0000
NWG-WGEPL093,Endpoint & Mobile Protection,Panda Endpoint Protection Plus - 3 Year - 3000+ users,https://www.leadersystems.com.au/Images/NWG-WGEPL093.jpg,Watchguard,WGEPL093,42.0000,54.0000
NWG-WGT41341,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox T40-W,https://www.leadersystems.com.au/Images/NWG-WGT41341.jpg,Watchguard,WGT41341,893.0000,1133.0000
NWG-WGT21201,Subscriptions & Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox T20-W,https://www.leadersystems.com.au/Images/NWG-WGT21201.jpg,Watchguard,WGT21201,158.0000,201.0000
NWG-WGPTCH30403,Endpoint & Mobile Protection,Watchguard Endpoint Module - Patch Management - 3 Year - 251 to 500 licenses,https://www.leadersystems.com.au/Images/NWG-WGPTCH30403.jpg,Watchguard,WGPTCH30403,50.0000,64.0000
NWG-WGINSG30403,Endpoint & Mobile Protection,Watchguard Endpoint Module - Advanced Reporting Tool - 3 Year - 251 to 500 licenses,https://www.leadersystems.com.au/Images/NWG-WGINSG30403.jpg,Watchguard,WGINSG30403,36.0000,47.0000
NWG-WGCME261,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME261.jpg,Watchguard,WGCME261,1050.0000,1333.0000
NWG-WGCLG353,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for Firebox Cloud Large,https://www.leadersystems.com.au/Images/NWG-WGCLG353.jpg,Watchguard,WGCLG353,22958.0000,29127.0000
